"","school","stuid","grade","schid","dist","white","black","hisp","indian","asian","econ","female","ell","disab","sch_fay","dist_fay","luck","ability","measerr","teachq","year","attday","schoolscore","district","schoolhigh","schoolavg","schoollow","readSS","mathSS","proflvl","race"
"1555",1,116995,3,495,105,0,1,0,0,0,0,0,0,0,0,0,0,83.8448783077156,16.0314500740467,76.9012292114572,"2000",170,29.2242722609726,3,0,1,0,399.186623144338,470.720275150982,"proficient","B"
"1863",1,130705,3,205,75,0,1,0,0,0,0,0,0,0,0,0,1,110.536962812009,23.7912511845947,44.4435927699406,"2000",157,29.2242722609726,3,0,1,0,426.821336625758,449.55510198237,"proficient","B"
"1871",1,91705,3,205,75,0,1,0,0,0,0,0,0,1,0,0,0,107.35391910134,-8.62157345956918,84.3659489831151,"2000",170,30.9339933921723,3,0,1,0,476.425422971033,423.268998926312,"proficient","B"
"1876",1,57205,3,205,15,0,1,0,0,0,1,0,0,0,0,0,0,117.872194604153,-11.1441258803822,59.274163089555,"2000",180,55.9632592971956,3,0,1,0,387.871794384379,418.639821020512,"proficient","B"
"2036",1,97705,3,205,75,0,1,0,0,0,1,0,0,0,0,0,0,108.652885725997,24.9242281251279,39.7252661778832,"2000",156,55.9632592971956,3,0,1,0,343.988991878309,402.808659161228,"basic","B"
"2129",1,63902,4,402,66,0,1,0,0,0,0,0,0,0,0,0,0,105.99094448403,-29.7093482477029,76.640318377272,"2000",147,54.6842940512668,3,0,1,0,491.097275409548,476.867575052486,"proficient","B"
"2274",1,22495,3,495,45,0,1,0,0,0,1,0,0,0,0,0,1,122.223028057897,-40.4023407199359,20.370435102746,"2000",170,55.9632592971956,3,0,1,0,350.589566954253,324.04192582967,"basic","B"
"2677",1,97495,3,495,45,0,1,0,0,0,1,0,0,0,0,0,0,94.8236341257906,11.9555325425311,42.9035081776524,"2000",135,55.9632592971956,3,0,1,0,342.269851860285,382.949621473763,"basic","B"
"2714",1,89995,3,495,105,0,1,0,0,0,1,0,0,0,0,0,0,107.871135219922,31.4493017356783,76.3372997878901,"2000",159,55.9632592971956,3,0,1,0,451.732227564786,488.485350359934,"proficient","B"
"2981",1,113995,3,495,105,0,1,0,0,0,0,0,0,0,0,0,0,87.1119124883117,37.2738477422132,91.8867786363427,"2000",180,29.2242722609726,3,0,1,0,443.243342748559,527.946967423821,"proficient","B"
"3238",1,116402,4,402,6,0,1,0,0,0,0,0,0,0,0,0,1,105.342674962955,10.0597792698303,91.5285232808534,"2000",163,54.6842940512668,3,0,1,0,512.3911146159,563.739370817705,"advanced","B"
"3247",1,92995,3,495,105,0,1,0,0,0,1,0,0,0,0,0,0,100.434700599589,6.1536388213669,57.4909344169721,"2000",180,55.9632592971956,3,0,1,0,385.460908732355,414.606850621064,"proficient","B"
"3501",1,142495,3,495,45,0,1,0,0,0,0,0,0,0,0,0,0,104.866132718716,10.4119935646423,94.0811055514365,"2000",155,29.2242722609726,3,0,1,0,500.268822506244,523.630106447411,"advanced","B"
"3576",1,118495,3,495,45,0,1,0,0,0,1,0,0,0,0,0,0,74.1062414095655,8.46490475906498,55.933778176836,"2000",180,55.9632592971956,3,0,1,0,325.92292153106,387.189989810011,"basic","B"
"3774",1,105205,3,205,15,0,1,0,0,0,1,0,0,0,0,0,0,81.4671979936768,19.9872838071531,44.0451084851305,"2000",168,55.9632592971956,3,0,1,0,340.918682868203,380.11734002112,"basic","B"
"3840",1,100705,3,205,75,0,1,0,0,0,1,0,0,0,0,0,0,103.837073734537,1.9698640302492,23.318213677981,"2000",173,55.9632592971956,3,0,1,0,278.707906734881,339.217720404728,"below basic","B"
"3873",1,93205,3,205,15,0,1,0,0,0,1,0,0,0,0,0,0,94.2284871696085,-20.3460127658129,12.5895818899384,"2000",156,55.9632592971956,3,0,1,0,330.847235946718,283.869928992748,"basic","B"
"3907",9,104402,4,402,6,0,1,0,0,0,0,0,0,1,0,0,1,95.6900402670346,11.9757705426017,104.699339889175,"2000",160,56.3940151824665,17,0,1,0,515.133311988505,522.153292538679,"advanced","B"
"4013",10,138205,3,205,15,0,1,0,0,0,1,0,0,1,0,0,0,89.7763954336647,-0.391593585153911,24.7771875718632,"2000",152,57.6729804283953,5,0,1,0,357.820987610457,263.376222413369,"basic","B"
"4103",10,147205,3,205,15,0,1,0,0,0,1,0,0,1,0,0,0,82.0311302615714,-22.0233166058648,28.6045749886377,"2000",173,57.6729804283953,5,0,1,0,282.201024797323,242.355393031166,"below basic","B"
"4269",10,146995,3,495,105,0,1,0,0,0,1,0,0,1,0,0,0,107.776571827115,19.3232073471737,68.2503806214141,"2000",180,57.6729804283953,5,0,1,0,412.611955005236,396.004221487043,"proficient","B"
"4452",10,114205,3,205,15,0,1,0,0,0,1,0,0,1,0,0,0,109.814231680055,-33.8453242421156,44.7208717387975,"2000",180,57.6729804283953,5,0,1,0,416.3546994999,293.502455835733,"proficient","B"
"4478",10,54205,3,205,15,0,1,0,0,0,1,0,0,1,0,0,0,87.271527395374,-6.688040940552,35.6058534360493,"2000",180,57.6729804283953,5,0,1,0,325.671840154924,278.216634865544,"basic","B"
"4623",10,26995,3,495,105,0,1,0,0,0,1,0,0,1,0,0,1,100.575279390033,-8.50872757608306,30.0124018785794,"2000",174,57.6729804283953,5,0,1,0,347.807594646381,292.733980008248,"basic","B"
"4676",10,34495,3,495,45,0,1,0,0,0,1,0,0,1,0,0,0,100.460643714516,-21.2654632619748,47.9266683389672,"2000",152,57.6729804283953,5,0,1,0,370.0831290331,303.727797036664,"basic","B"
"4717",10,112495,3,495,45,0,1,0,0,0,1,0,0,1,0,0,0,98.7571452923242,-34.4267624097509,37.4218749532373,"2000",180,57.6729804283953,5,0,1,0,355.883048706017,265.928367498427,"basic","B"
"4814",10,15205,3,205,15,0,1,0,0,0,1,0,0,1,0,0,0,111.409302231526,30.3731009291899,32.8878872208954,"2000",157,57.6729804283953,5,0,1,0,344.436971511802,333.481541014751,"basic","B"
"4913",19,28705,3,205,75,0,0,1,0,0,0,0,1,0,0,0,0,105.757124885231,-18.5045311463739,86.1418929236642,"2000",171,68.5301443122911,15,0,1,0,463.645095978413,435.17512798704,"proficient","H"
"4923",19,77995,3,495,105,0,0,1,0,0,0,0,1,0,0,0,0,105.776750723751,1.6128984659853,79.7727672930791,"2000",149,68.5301443122911,15,0,1,0,411.614090375828,441.406764555948,"proficient","H"
"5482",22,124495,3,495,45,0,1,0,0,0,0,1,0,0,0,0,0,84.059859771491,15.8912373129551,80.6038866693795,"2000",155,69.509880773425,4,0,1,0,458.322578619898,498.438237030484,"proficient","B"
"5584",22,85495,3,495,45,0,1,0,0,0,0,1,0,0,0,0,1,101.833324546331,28.28028827291,53.9045133365616,"2000",180,69.509880773425,4,0,1,0,402.032888415546,485.555444831667,"proficient","B"
"5592",22,31495,3,495,45,0,1,0,0,0,0,1,0,0,0,0,0,88.3853162557608,-10.2648501322412,70.598056263919,"2000",161,69.509880773425,4,0,1,0,419.988925890412,454.762337013826,"proficient","B"
"6173",25,8995,3,495,105,0,0,0,1,1,0,0,0,0,0,0,1,100.805527782867,29.5707702167017,66.3584233811226,"2000",162,77.9113450902567,6,0,0,1,344.776836879776,510.750724677841,"basic","I"
"6210",25,13995,5,495,105,0,1,0,0,0,0,0,0,0,0,0,0,114.391147974334,13.6984488913804,67.706770992957,"2000",164,80.1443158415611,6,0,0,1,415.116404131705,534.738407705224,"basic","B"
"6508",26,132902,4,402,66,0,1,0,0,0,1,0,0,0,0,0,0,95.7611284363713,-34.1695539459922,45.6189858309856,"2000",180,81.4232810874899,1,0,1,0,401.600246953561,374.002273354103,"basic","B"
"6544",26,101402,4,402,6,0,1,0,0,0,1,0,0,0,0,0,0,102.830506838401,-26.4920277562744,27.5755269653975,"2000",153,81.4232810874899,1,0,1,0,316.596384720645,349.355724564939,"below basic","B"
"6647",26,105902,4,402,66,0,1,0,0,0,1,0,0,0,0,0,0,96.9946331582473,18.669555260673,45.2935826649628,"2000",171,81.4232810874899,1,0,1,0,337.022088080752,427.364449525326,"below basic","B"
"7113",26,42902,4,402,66,0,1,0,0,0,1,0,0,0,0,0,0,109.776895262619,17.4694381646861,18.0718570428904,"2000",168,81.4232810874899,1,0,1,0,336.4503348403,379.514653727383,"below basic","B"
"7250",26,15902,4,402,66,0,1,0,0,0,1,0,0,0,0,0,1,89.4071894773096,9.13452381660417,23.5567732805753,"2000",167,81.4232810874899,1,0,1,0,331.572798649424,378.031203958027,"below basic","B"
"7281",26,122402,4,402,6,0,1,0,0,0,1,0,0,0,0,0,0,95.4906529983743,-11.9407309850406,-11.2862675898356,"2000",180,81.4232810874899,1,0,1,0,264.309977271292,271.721999864247,"below basic","B"
"7430",26,32402,4,402,6,0,1,0,0,0,1,0,0,0,0,0,0,105.842966112588,21.0783078945887,48.538345433853,"2000",180,81.4232810874899,1,0,1,0,394.586827969325,445.705676342856,"basic","B"
"7605",26,81902,4,402,66,0,1,0,0,0,1,0,0,0,0,0,1,102.461825263826,0.315349386905428,27.5124310113971,"2000",180,81.4232810874899,1,0,1,0,381.896054412248,390.902870799103,"basic","B"
"7940",26,93902,4,402,66,0,1,0,0,0,1,0,0,0,0,0,0,82.6386709567639,-3.60743178631201,27.9893792636221,"2000",160,81.4232810874899,1,0,1,0,336.78627239519,352.952029330488,"below basic","B"
"8267",26,14402,4,402,6,0,1,0,0,0,1,0,0,0,0,0,0,102.870888440905,20.6637569369673,25.9377313635003,"2000",175,81.4232810874899,1,0,1,0,318.587927080066,392.976167094448,"below basic","B"
"8472",26,95402,4,402,6,0,1,0,0,0,1,0,0,0,0,0,0,107.080312040832,-2.87986996807078,24.1075685432647,"2000",156,81.4232810874899,1,0,1,0,371.914292911939,369.646253528045,"basic","B"
"8538",26,114902,4,402,66,0,1,0,0,0,1,0,0,0,0,0,0,103.369500427134,-5.85285967163306,21.1416291395734,"2000",175,81.4232810874899,1,0,1,0,369.142528427502,356.487053203295,"basic","B"
"9219",26,11402,4,402,6,0,1,0,0,0,1,0,0,0,0,0,1,111.977505294413,-17.3598507873718,56.7894637340416,"2000",162,81.4232810874899,1,0,1,0,446.882598911756,446.662548869147,"proficient","B"
"9265",26,30902,4,402,66,0,1,0,0,0,1,0,0,0,0,0,0,110.97031052318,45.4361236127837,31.1402656045167,"2000",163,81.4232810874899,1,0,1,0,378.280238127867,437.206409440224,"basic","B"
"9424",42,2205,5,205,15,0,1,0,0,0,0,0,0,1,0,0,1,122.266776278755,19.7356426956086,63.5703229840647,"2000",163,81.8540369727607,22,0,1,0,531.968160324291,497.006477516729,"advanced","B"
"9498",45,146402,4,402,6,0,1,0,0,0,1,0,0,1,0,0,0,110.805009348773,-22.3040878290025,52.9167124361012,"2000",156,83.1330022186895,4,0,0,1,386.913330390085,349.495106644741,"basic","B"
"9614",45,21902,4,402,66,0,1,0,0,0,1,0,0,1,0,0,0,96.5371814596315,-52.3235678954249,28.146932660312,"2000",161,83.1330022186895,4,0,0,1,284.901261266431,251.129078410443,"below basic","B"
"9730",45,108902,4,402,66,0,1,0,0,0,1,0,0,1,0,0,1,80.2408643634919,1.85181845602954,37.1479090963584,"2000",180,83.1330022186895,4,0,0,1,326.229844879436,323.905770451717,"below basic","B"
"10434",51,110995,3,495,105,0,1,0,0,0,1,0,0,0,1,0,1,94.504391657273,-28.2344644649408,42.4016184813702,"2000",178,83.1520029770658,24,0,1,0,363.018415115818,375.138138196768,"basic","B"
"10488",51,141205,3,205,15,0,1,0,0,0,1,0,0,0,1,0,0,103.775046794935,-18.3289047488719,77.7940584877319,"2000",142,83.1520029770658,24,0,1,0,416.728236194427,456.338833397362,"proficient","B"
"10603",51,47995,3,495,105,0,1,0,0,0,1,0,0,0,1,0,1,92.7366836668954,-5.21441016045779,55.858106046652,"2000",180,83.1520029770658,24,0,1,0,426.329196747866,425.769414544334,"proficient","B"
"10834",54,131995,3,495,105,0,1,0,0,0,1,0,0,1,1,0,0,106.250999642082,-18.387253218726,40.2753246039873,"2000",167,84.8617241082654,21,0,1,0,393.83530727904,314.238840063548,"proficient","B"
"10858",54,61495,3,495,45,0,1,0,0,0,1,0,0,1,1,0,0,117.652322224293,7.26753637038018,55.9647805665181,"2000",163,84.8617241082654,21,0,1,0,415.46191003082,385.54901940879,"proficient","B"
"10866",54,31705,3,205,75,0,1,0,0,0,1,1,1,0,0,0,0,90.6937471709169,-17.2931461344807,37.761510291268,"2000",154,84.2512782479056,21,0,1,0,354.345160853393,334.296715460144,"basic","B"
"10939",54,122995,3,495,105,0,1,0,0,0,1,1,1,0,0,0,0,87.1120645541452,-24.1931455476023,72.3428453164541,"2000",154,84.2512782479056,21,0,1,0,391.13857873608,399.31487075703,"proficient","B"
"11043",55,2995,3,495,105,1,0,0,0,0,0,0,0,0,0,0,0,111.067625213266,1.14172500724131,45.284457319972,"2000",180,85.5837621703899,7,1,0,0,373.892689936326,417.837369451715,"basic","W"
"11134",55,16705,3,205,75,1,0,0,0,0,0,0,0,0,0,0,0,112.515833258243,6.95089636743912,52.9946550069213,"2000",167,85.5837621703899,7,1,0,0,402.4920668137,441.928068643359,"proficient","W"
"11185",55,98995,3,495,105,1,0,0,0,0,0,0,0,0,0,0,0,119.375288014118,-9.74483401482369,71.313928762675,"2000",180,85.5837621703899,7,1,0,0,439.429557334065,472.087420354573,"proficient","W"
"11254",55,30205,3,205,15,1,0,0,0,0,0,0,0,0,0,0,0,96.3449959244683,21.2204826227888,59.3291886314336,"2000",177,85.5837621703899,7,1,0,0,370.002974998993,453.856713311971,"basic","W"
"11339",55,46705,3,205,75,1,0,0,0,0,0,0,0,0,0,0,0,118.905873524454,21.5301944397673,93.6435758739274,"2000",167,85.5837621703899,7,1,0,0,437.984810978662,551.644325246704,"proficient","W"
"11569",55,109705,3,205,75,1,0,0,0,0,0,0,0,0,0,0,1,98.6944363805935,50.6259927020853,127.325270956533,"2000",165,85.5837621703899,7,1,0,0,536.649964516771,649.310586365001,"advanced","W"
"11595",55,148495,3,495,45,1,0,0,0,0,0,0,0,0,0,0,1,97.5064512279528,-24.8996044489373,67.3364708084122,"2000",163,85.5837621703899,7,1,0,0,432.309588373115,441.626217383695,"proficient","W"
"11682",55,61705,3,205,75,1,0,0,0,0,0,0,0,0,0,0,1,91.9886437239548,4.50240680738414,71.2570783497428,"2000",162,85.5837621703899,7,1,0,0,424.170349699247,474.07010315457,"proficient","W"
"11979",55,72205,3,205,15,1,0,0,0,0,0,0,0,0,0,0,0,96.749533900058,44.0753933775178,80.2407755583569,"2000",164,85.5837621703899,7,1,0,0,412.787554304647,522.771467428204,"proficient","W"
"11993",55,85705,3,205,75,1,0,0,0,0,0,0,0,0,0,0,0,106.159094395812,1.19493990630449,81.4864710631497,"2000",178,85.5837621703899,7,1,0,0,445.193371021599,492.020244121428,"proficient","W"
"12129",55,103705,3,205,75,1,0,0,0,0,0,0,0,0,0,0,1,107.113502268778,-8.9399410978861,132.315013383881,"2000",179,85.5837621703899,7,1,0,0,552.911710339721,609.057593466801,"advanced","W"
"12196",55,56995,3,495,105,1,0,0,0,0,0,0,0,0,0,0,0,104.398937659906,-12.1671027863078,60.86347101097,"2000",153,85.5837621703899,7,1,0,0,366.996772416064,431.872797749848,"basic","W"
"12362",55,19495,3,495,45,1,0,0,0,0,0,0,0,0,0,0,1,106.593997003948,20.2563029452886,72.3827070792356,"2000",180,85.5837621703899,7,1,0,0,450.12729621441,506.886885976113,"proficient","W"
"12439",55,49705,3,205,75,1,0,0,0,0,0,0,0,0,0,0,0,118.658222796302,-19.3794893379039,75.1181202282926,"2000",180,85.5837621703899,7,1,0,0,420.750317486961,470.041215971595,"proficient","W"
"12508",55,117205,3,205,15,1,0,0,0,0,0,0,0,0,0,0,1,107.620507615212,-8.70303496759498,69.1800694857144,"2000",162,85.5837621703899,7,1,0,0,428.609530167768,471.961887402003,"proficient","W"
"12582",55,67705,3,205,75,1,0,0,0,0,0,0,0,0,0,0,0,110.47768377511,28.2673959832446,57.4829635101605,"2000",174,85.5837621703899,7,1,0,0,388.021676668244,471.005536179108,"proficient","W"
"12608",55,101995,3,495,105,1,0,0,0,0,0,0,0,0,0,0,1,87.6235200949782,-12.390331337662,72.7693723928268,"2000",164,85.5837621703899,7,1,0,0,411.394756031027,456.113963369011,"proficient","W"
"12764",55,133495,3,495,45,1,0,0,0,0,0,0,0,0,0,0,1,99.4504315895624,3.27170070955491,128.944944816419,"2000",166,85.5837621703899,7,1,0,0,545.28077631657,606.248448982306,"advanced","W"
"12849",55,51205,3,205,15,1,0,0,0,0,0,0,0,0,0,0,0,91.4071501921709,6.42444393131414,77.6184828554385,"2000",161,85.5837621703899,7,1,0,0,395.939765160474,474.053003293793,"proficient","W"
"12948",55,74995,3,495,105,1,0,0,0,0,0,0,0,0,0,0,0,99.1965852806606,34.6084958940973,67.8760915070927,"2000",180,85.5837621703899,7,1,0,0,417.378094372377,488.756375659261,"proficient","W"
"13006",55,136495,3,495,45,1,0,0,0,0,0,0,0,0,0,0,1,106.740110437331,29.2334146234052,106.503788077217,"2000",155,85.5837621703899,7,1,0,0,475.31443976642,590.505096977695,"proficient","W"
"13406",71,27205,3,205,15,1,0,0,0,0,0,0,0,1,0,0,0,113.539565206463,2.13841371873664,80.2669702275578,"2000",167,87.2934833015896,7,0,0,1,401.837357557609,422.178065273935,"proficient","W"
"13408",71,96205,3,205,15,1,0,0,0,0,0,0,0,1,0,0,0,114.647696855774,-22.3540467762701,94.5617857066639,"2000",157,87.2934833015896,7,0,0,1,405.80191552573,430.002949216085,"proficient","W"
"13581",71,16495,3,495,45,1,0,0,0,0,0,0,0,1,0,0,0,88.7291552722836,-6.78959931084837,71.2542362942288,"2000",170,87.2934833015896,7,0,0,1,348.924018256303,368.762555079724,"basic","W"
"13991",73,99705,5,205,75,0,1,0,0,0,1,0,1,0,0,0,0,111.102966706674,6.33305468485291,32.3854892753586,"2000",166,94.8857133160416,11,0,1,0,344.66141676464,407.658898318675,"below basic","B"
"14065",73,45495,5,495,45,0,1,0,0,0,1,0,1,0,0,0,0,105.448597602239,-18.2238955137809,36.3105463260414,"2000",178,94.8857133160416,11,0,1,0,340.657254906548,386.016975443161,"below basic","B"
"14068",73,111705,5,205,75,0,1,0,0,0,1,0,1,0,0,0,0,97.8487661732554,-37.9579986891612,24.1118525186326,"2000",171,94.8857133160416,11,0,1,0,349.860024646362,332.050194033207,"below basic","B"
"14301",74,64705,3,205,75,0,0,1,0,0,1,0,1,0,0,0,0,109.202020638123,-3.21257136625115,71.0337227678638,"2000",160,95.2691313485142,16,0,0,1,359.008735563376,395.734546932133,"basic","H"
"14735",74,51902,4,402,66,0,1,0,0,0,0,1,0,0,0,0,0,102.651157308572,31.2993400504019,74.0238904819097,"2000",173,94.9699025637192,16,0,0,1,433.977124877572,543.638869345964,"proficient","B"
"14946",74,139705,3,205,75,0,0,1,0,0,1,0,1,0,0,0,1,99.1775692429007,-24.4662225957612,64.2881587004591,"2000",130,95.2691313485142,16,0,0,1,359.071614482908,364.975369868275,"basic","H"
"15026",74,106705,3,205,75,0,0,1,0,0,1,0,1,0,0,0,0,101.74913419314,-21.5941588956127,28.4871945706682,"2000",160,95.2691313485142,16,0,0,1,251.531254829445,277.010195936906,"below basic","H"
"15199",78,89402,4,402,6,0,0,1,0,0,0,0,1,1,0,0,0,105.456138053799,-4.29946155165389,55.6197986826076,"2000",170,95.699887233785,13,0,1,0,414.851484390098,350.148721049703,"proficient","H"
"15444",80,11995,3,495,105,0,1,0,0,0,1,1,0,0,0,0,0,119.717337907766,-7.54491234627031,34.0402786814763,"2000",165,96.248867809648,15,0,1,0,377.570921816688,388.551550839235,"basic","B"
"15481",80,4705,3,205,75,0,1,0,0,0,1,1,0,0,0,0,0,98.2993440494921,10.2106690979728,51.6139721391701,"2000",180,96.248867809648,15,0,1,0,389.25870391537,423.256974609672,"proficient","B"
"15663",80,52495,3,495,45,0,1,0,0,0,1,1,0,0,0,0,1,89.7086596506469,-2.04788225758489,16.9075170304878,"2000",168,96.248867809648,15,0,1,0,298.036430374168,341.880937766472,"below basic","B"
"15866",80,91495,3,495,45,0,1,0,0,0,1,1,0,0,0,0,0,111.178991921989,3.49457638404171,30.3389363402488,"2000",164,96.248867809648,15,0,1,0,341.612638092226,382.971723186014,"basic","B"
"16199",80,145495,3,495,45,0,1,0,0,0,1,1,0,0,0,0,0,90.64670122579,13.1738079620638,45.9417217536313,"2000",170,96.248867809648,15,0,1,0,331.132295236904,406.183507420387,"basic","B"
"16257",80,36205,3,205,15,0,1,0,0,0,1,1,0,0,0,0,1,91.9893807741554,20.1032177333811,43.0044216456027,"2000",138,96.248867809648,15,0,1,0,352.550674698909,423.288929747069,"basic","B"
"16396",80,17995,3,495,105,0,1,0,0,0,1,1,0,0,0,0,0,111.082215733785,-25.4320229182112,34.2247717558898,"2000",164,96.248867809648,15,0,1,0,380.354329242056,362.432113332305,"proficient","B"
"16639",80,95995,3,495,105,0,1,0,0,0,1,1,0,0,0,0,1,102.474662713346,0.714244393670641,37.6827476936209,"2000",168,96.248867809648,15,0,1,0,372.285038568398,402.766672510726,"basic","B"
"16782",80,1495,3,495,45,0,1,0,0,0,1,1,0,0,0,0,1,107.670968081316,-6.8786546473008,60.7610402793649,"2000",180,96.248867809648,15,0,1,0,460.971740775588,450.755852976706,"proficient","B"
"17072",80,130495,3,495,45,0,1,0,0,0,1,1,0,0,0,0,0,99.6089450474687,-2.87460128349692,16.5808154162407,"2000",179,96.248867809648,15,0,1,0,309.083051593896,334.995026379561,"below basic","B"
"17147",80,40495,3,495,45,0,1,0,0,0,1,1,0,0,0,0,0,78.6926950900123,-30.0588023201213,11.1291579047721,"2000",173,96.248867809648,15,0,1,0,266.932518062936,274.992222426075,"below basic","B"
"17433",80,111205,3,205,15,0,1,0,0,0,1,1,0,0,0,0,0,97.6009235491292,-29.2313389133593,25.7867123107644,"2000",154,96.248867809648,15,0,1,0,334.856571900315,326.729078285618,"basic","B"
"17637",80,70705,3,205,75,0,1,0,0,0,1,1,0,0,0,0,0,116.213580898292,8.17160200067956,44.7888989578476,"2000",175,96.248867809648,15,0,1,0,407.117198385388,424.231276174398,"proficient","B"
"17819",80,67495,3,495,45,0,1,0,0,0,1,1,0,0,0,0,0,86.9729862210196,-6.22047340687788,37.9284421122249,"2000",171,96.248867809648,15,0,1,0,346.186196369966,365.620486376877,"basic","B"
"17839",80,79705,3,205,75,0,1,0,0,0,1,1,0,0,0,0,0,86.5459087888894,16.7953071545682,6.09893038954152,"2000",168,96.248867809648,15,0,1,0,266.350651552762,318.717281356807,"below basic","B"
"17856",80,81205,3,205,15,0,1,0,0,0,1,1,0,0,0,0,0,114.631668014204,19.0584779678907,54.2473053741762,"2000",152,96.248867809648,15,0,1,0,431.565238489609,454.186342710244,"proficient","B"
"17893",80,42205,3,205,15,0,1,0,0,0,1,1,0,0,0,0,1,114.063984942587,3.32980350024634,48.439569808836,"2000",166,96.248867809648,15,0,1,0,407.435817413026,440.456428541529,"proficient","B"
"18210",100,44205,5,205,15,0,1,0,0,0,1,0,1,1,0,0,0,108.267853016457,-40.0309273004846,40.0068431429694,"2000",162,96.5954344472413,23,1,0,0,369.127619519453,320.648820195331,"below basic","B"
"18363",102,80995,3,495,105,0,0,1,0,0,1,0,1,1,0,0,0,99.5066888787502,-13.269232772345,31.5457408738472,"2000",176,96.9788524797138,4,0,1,0,276.795722876099,231.910219258156,"below basic","H"
"18575",105,23995,3,495,105,0,1,0,0,0,1,1,0,1,0,0,0,107.246675359834,10.7567558450097,27.2675113063997,"2000",167,97.9585889408477,25,0,0,1,315.54944789735,312.246580761282,"below basic","B"
"18654",105,25705,3,205,75,0,1,0,0,0,1,1,0,1,0,0,0,94.8744658981328,10.7962167187964,40.21726755111,"2000",169,97.9585889408477,25,0,0,1,336.803675171964,328.186439034409,"basic","B"
"18756",105,145705,3,205,75,0,1,0,0,0,1,1,0,1,0,0,0,104.395661263921,9.00299377017085,25.3018351839967,"2000",161,97.9585889408477,25,0,0,1,280.238341466158,303.350234372941,"below basic","B"
